Link	Count	First used	First video	Last used	Last video
https://smarturl.it/GOODAM	1	2010-11-23	OmEpkztK5Lw	2010-11-23	OmEpkztK5Lw
http://spoti.fi/2wWFqZM	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
https://goo.gl/jVLYYY	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
https://goo.gl/DKyKZf	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
https://goo.gl/4ie9Ei	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
https://goo.gl/t9L891	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
http://TWICE.jype.com	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
http://fans.jype.com/TWICE	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
http://www.youtube.com/c/TWICEonAir	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
http://www.facebook.com/JYPETWICE	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
http://www.twitter.com/JYPETWICE	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
http://www.instagram.com/TWICETAGRAM	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
http://instagram.com/imsofaygo	1	2021-05-04	DujEvJIW_9I	2021-05-04	DujEvJIW_9I
https://open.spotify.com/user/gh3vdz775oy18ah1wp9ucxsj5/playlist/5UuPeWDR2I8a8pORvW9vmr	1	2021-05-04	DujEvJIW_9I	2021-05-04	DujEvJIW_9I
http://www.twitter.com/lyricalemonade	1	2021-05-04	DujEvJIW_9I	2021-05-04	DujEvJIW_9I
http://www.instagram.com/lyricalemonade	1	2021-05-04	DujEvJIW_9I	2021-05-04	DujEvJIW_9I
http://www.facebook.com/lyricalemonade	1	2021-05-04	DujEvJIW_9I	2021-05-04	DujEvJIW_9I
http://www.lyricallemonade.com	1	2021-05-04	DujEvJIW_9I	2021-05-04	DujEvJIW_9I
http://www.twitter.com/_colebennett_	1	2021-05-04	DujEvJIW_9I	2021-05-04	DujEvJIW_9I
