"No.","Time","Source","Destination","Protocol","Length","Info"
"8","0.026936799","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=lb0dBVWozRo HTTP/1.1 "
"185","0.587445464","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=lb0dBVWozRo HTTP/1.1 "
"362","2.128033155","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=f8OHybVhQwc HTTP/1.1 "
"547","3.796298089","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=OmEpkztK5Lw HTTP/1.1 "
"733","5.436231349","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=9o4LKzaMaOo HTTP/1.1 "
"903","7.025617434","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=W3W9Yj8a0Fg HTTP/1.1 "
"1093","8.634584799","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=8A2t_tAjMz8 HTTP/1.1 "
"1286","10.245124624","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=DujEvJIW_9I HTTP/1.1 "
"1497","11.795381598","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=u2nRLeEQhYo HTTP/1.1 "
"1686","13.519555134","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=uAZ9R2t5Jd0 HTTP/1.1 "
"1858","15.045450169","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=vb3NnS_DjGE HTTP/1.1 "
"2039","16.592883331","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=utUVQdf5KW0 HTTP/1.1 "
"2209","18.129487783","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=Q2hLFoFcVi8 HTTP/1.1 "
"2368","18.662512578","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=-yXl4icHlw8 HTTP/1.1 "
"2539","19.314320770","192.168.26.53","172.217.16.78","HTTP","235","GET /watch?v=ZeqR4tYSmGI HTTP/1.1 "
