Tag	Count	First used	First video	Last used	Last video
1970	1	2007-12-03	lb0dBVWozRo	2007-12-03	lb0dBVWozRo
2014	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Mary	1	2007-12-03	lb0dBVWozRo	2007-12-03	lb0dBVWozRo
Hopkin	1	2007-12-03	lb0dBVWozRo	2007-12-03	lb0dBVWozRo
Knock	2	2007-12-03	lb0dBVWozRo	2010-06-22	utUVQdf5KW0
Who's	1	2007-12-03	lb0dBVWozRo	2007-12-03	lb0dBVWozRo
There	1	2007-12-03	lb0dBVWozRo	2007-12-03	lb0dBVWozRo
Eurovision	1	2007-12-03	lb0dBVWozRo	2007-12-03	lb0dBVWozRo
Song	1	2007-12-03	lb0dBVWozRo	2007-12-03	lb0dBVWozRo
UK	1	2007-12-03	lb0dBVWozRo	2007-12-03	lb0dBVWozRo
hit	1	2007-12-03	lb0dBVWozRo	2007-12-03	lb0dBVWozRo
entry	1	2007-12-03	lb0dBVWozRo	2007-12-03	lb0dBVWozRo
Guns N' Roses	1	2018-05-31	f8OHybVhQwc	2018-05-31	f8OHybVhQwc
ガンズアンドローゼズ	1	2018-05-31	f8OHybVhQwc	2018-05-31	f8OHybVhQwc
ガンズ・アンド・ローゼズ	1	2018-05-31	f8OHybVhQwc	2018-05-31	f8OHybVhQwc
Use Your Illusion II	1	2018-05-31	f8OHybVhQwc	2018-05-31	f8OHybVhQwc
Knockin' On Heaven's Door	1	2018-05-31	f8OHybVhQwc	2018-05-31	f8OHybVhQwc
ノッキン・オン・ヘヴンズ・ドア	1	2018-05-31	f8OHybVhQwc	2018-05-31	f8OHybVhQwc
mac miller	1	2010-11-23	OmEpkztK5Lw	2010-11-23	OmEpkztK5Lw
rex arrow films	1	2010-11-23	OmEpkztK5Lw	2010-11-23	OmEpkztK5Lw
rostrum records	1	2010-11-23	OmEpkztK5Lw	2010-11-23	OmEpkztK5Lw
kids	1	2010-11-23	OmEpkztK5Lw	2010-11-23	OmEpkztK5Lw
knock knock	1	2010-11-23	OmEpkztK5Lw	2010-11-23	OmEpkztK5Lw
pittsburgh	1	2010-11-23	OmEpkztK5Lw	2010-11-23	OmEpkztK5Lw
hip hop	2	2010-11-23	OmEpkztK5Lw	2021-05-04	DujEvJIW_9I
treejtv	1	2010-11-23	OmEpkztK5Lw	2010-11-23	OmEpkztK5Lw
ian wolfson	1	2010-11-23	OmEpkztK5Lw	2010-11-23	OmEpkztK5Lw
1950s	1	2010-11-23	OmEpkztK5Lw	2010-11-23	OmEpkztK5Lw
mostdope	1	2010-11-23	OmEpkztK5Lw	2010-11-23	OmEpkztK5Lw
Angerfist	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Hardcore	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Hardcore Techno	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Gabba	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Gabber	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
MOH	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Masters	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Deadfaced	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Dimension	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Hardstyle	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
EDM	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Dance	2	2008-01-04	vb3NnS_DjGE	2014-11-26	W3W9Yj8a0Fg
Hard	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Qlimax	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Rawstyle	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Radical Redemption	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Minus Militia	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
Album	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
New	1	2014-11-26	W3W9Yj8a0Fg	2014-11-26	W3W9Yj8a0Fg
TWICE KNOCK KNOCK	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 KNOCK KNOCK	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 낙낙	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
TWICE 낙낙	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
TWICE	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
KNOCK KNOCK	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
낙낙	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
TWICE M/V	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
TWICE MV	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
TWICE Music Video	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
TWICE 뮤직비디오	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
TWICE 뮤비	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 M/V	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 MV	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 Music Video	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 뮤직비디오	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 뮤비	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
TWICE KNOCK KNOCK MV	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
TWICE KNOCK KNOCK Music Video	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 KNOCK KNOCK MV	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 KNOCK KNOCK 뮤비	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 낙낙 뮤비	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 낙낙 뮤직비디오	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
트와이스 낙낙 MV	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
TT	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
티티	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
CHEER UP	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
치얼업	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
OOH-AHH하게	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
Like OOH-AHH	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
우아하게	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
JYP	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
제이와이피	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
NAYEON	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
JEONGYEON	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
MOMO	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
SANA	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
JIHYO	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
MINA	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
DAHYUN	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
CHAEYOUNG	1	2017-02-19	8A2t_tAjMz8	2017-02-19	8A2t_tAjMz8
