Video ID	Title	Channel ID	Author	Description	Length	Length (Seconds)	Published	Language	Audio Language	Views	Likes	Dislikes	Like Ratio	Comments	Source	Kids	Embeddable	Licensed Content	Dimension	Definition	Caption	Projection	License	Privacy Status	Content Rating	Region Restriction Count	Region Restriction	Livestream	Location Name	Location	Recording Date	Tag Count	Tags	Localization Count	Localizations
<a target='_blank' href='https://youtu.be/lb0dBVWozRo'>lb0dBVWozRo</a>	<a target='_blank' href='https://youtu.be/lb0dBVWozRo'>Mary Hopkin ~ Knock Knock Who's There  1970</a>	<a target='_blank' href='https://www.youtube.com/channel/UCDT9Zg0mzo8Zs2G1vsDOGJw'>UCDT9Zg0mzo8Zs2G1vsDOGJw</a>	<a target='_blank' href='https://www.youtube.com/channel/UCDT9Zg0mzo8Zs2G1vsDOGJw'>BladeSteve2007</a>	Written by John Carter & Geoff Stephens.<br>Good Eurovision performance from Mary in 1970.<br>This was the runner-up to the worthy winner, Ireland's Dana with 'All Kinds Of Everything.<br>A quote from co-writer of 'KKWT' John Carter ...  'I think Mary Hopkin regretted Eurovision. She didn't want to do it and was talked into it. I don't think she liked the record.'  <br>Taken from TOTP2.	    2m 29s 	149	2007-12-03T00:11:05Z			1,910,081	6,777			707			true		2d	sd	false	rectangular	youtube	public								11	Mary, Hopkin, Knock, Who's, There, Eurovision, Song, UK, hit, entry, 1970	0	
<a target='_blank' href='https://youtu.be/f8OHybVhQwc'>f8OHybVhQwc</a>	<a target='_blank' href='https://youtu.be/f8OHybVhQwc'>Knockin' On Heaven's Door</a>	<a target='_blank' href='https://www.youtube.com/channel/UCSLbbBoUqpin6BE34whSOvA'>UCSLbbBoUqpin6BE34whSOvA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCSLbbBoUqpin6BE34whSOvA'>Guns N' Roses - Topic</a>	Provided to YouTube by Universal Music Group<br><br>Knockin' On Heaven's Door · Guns N' Roses<br><br>Use Your Illusion II<br><br>℗ A Geffen Records Release; ℗ 1991 UMG Recordings, Inc.<br><br>Released on: 1991-09-17<br><br>Producer, Studio  Personnel, Engineer: Mike Clink<br>Producer: Guns N' Roses<br>Studio  Personnel, Mixer: Bill Price<br>Studio  Personnel, Engineer: Jim Mitchell<br>Composer  Lyricist: Bob Dylan<br><br>Auto-generated by YouTube.	    5m 36s 	336	2018-05-31T11:31:45Z			132,134,605	1,064,324			8,932			true	true	2d	hd	false	rectangular	youtube	public		101 (allowed)	Allowed [AE, AR, AS, AT, AU, AW, BA, BE, BG, BH, BM, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GF, GR, GT, GU, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KE, KR, KW, KY, LB, LI, LT, LU, LV, MA, MK, MP, MQ, MT, MX, MY, NC, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PG, PH, PL, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TC, TH, TR, TW, UA, US, UY, VE, VI, VN, YT, ZA]					6	Guns N' Roses, ガンズアンドローゼズ, ガンズ・アンド・ローゼズ, Use Your Illusion II, Knockin' On Heaven's Door, ノッキン・オン・ヘヴンズ・ドア	0	
<a target='_blank' href='https://youtu.be/OmEpkztK5Lw'>OmEpkztK5Lw</a>	<a target='_blank' href='https://youtu.be/OmEpkztK5Lw'>Mac Miller - Knock Knock</a>	<a target='_blank' href='https://www.youtube.com/channel/UC3SEvBYhullC-aaEmbEQflg'>UC3SEvBYhullC-aaEmbEQflg</a>	<a target='_blank' href='https://www.youtube.com/channel/UC3SEvBYhullC-aaEmbEQflg'>Mac Miller</a>	GO:OD AM Album Out Now<br><br>Download it here: https://smarturl.it/GOODAM<br><br>Rex Arrow Films, Rostrum Records & TreeJTV Present...<br><br>Mac Miller<br>Knock Knock<br>Produced by ID Labs<br>Directed & Edited by Ian Wolfson (Rex Arrow Films 2010)<br>Additional Camera: Lucas Stevens & Justin Boyd<br>Produced by Noam Harary, Samantha Racanelli, Ian Wolfson<br>Executive Produced by Benjy Grinberg<br>Hair & Makeup Team:<br>Kristen Varoli-Hair<br>Kimberly Nieves-Hair<br>Bethany Montecalvo-Make-up<br>Stephanie Truchan-Make-up<br>Marketing & Promotion - Arthur Pitt<br><br>Rex Arrow Films 2010<br>Rostrum Records 2010	    3m 52s 	232	2010-11-23T01:45:11Z			29,179,682	123,748			12,607			true		2d	hd	false	rectangular	youtube	public								11	mac miller, rex arrow films, rostrum records, kids, knock knock, pittsburgh, hip hop, treejtv, ian wolfson, 1950s, mostdope	0	
<a target='_blank' href='https://youtu.be/9o4LKzaMaOo'>9o4LKzaMaOo</a>	<a target='_blank' href='https://youtu.be/9o4LKzaMaOo'>Hotline Miami Soundtrack OST   Knock - Knock</a>	<a target='_blank' href='https://www.youtube.com/channel/UCncBY9mQmFU9h07Ou6slZkA'>UCncBY9mQmFU9h07Ou6slZkA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCncBY9mQmFU9h07Ou6slZkA'>S T</a>		    4m 5s 	245	2019-09-03T16:04:20Z			331,864	4,961			287			true		2d	hd	false	rectangular	youtube	public								0		0	
<a target='_blank' href='https://youtu.be/W3W9Yj8a0Fg'>W3W9Yj8a0Fg</a>	<a target='_blank' href='https://youtu.be/W3W9Yj8a0Fg'>Angerfist - Knock Knock</a>	<a target='_blank' href='https://www.youtube.com/channel/UCdluEI4RUCXmIgWyGmt5y9g'>UCdluEI4RUCXmIgWyGmt5y9g</a>	<a target='_blank' href='https://www.youtube.com/channel/UCdluEI4RUCXmIgWyGmt5y9g'>Angerfist</a>	Follow the Angerfist HARDCORE playlist on Spotify: http://spoti.fi/2wWFqZM	    4m 3s 	243	2014-11-26T12:35:57Z			5,143,584	45,652			1,016			true		2d	hd	false	rectangular	youtube	public								20	Angerfist, Hardcore, Hardcore Techno, Gabba, Gabber, MOH, Masters, Deadfaced, Dimension, Hardstyle, EDM, Dance, Hard, Qlimax, Rawstyle, Radical Redemption, Minus Militia, Album, New, 2014	0	
<a target='_blank' href='https://youtu.be/8A2t_tAjMz8'>8A2t_tAjMz8</a>	<a target='_blank' href='https://youtu.be/8A2t_tAjMz8'>TWICE "KNOCK KNOCK" M/V</a>	<a target='_blank' href='https://www.youtube.com/channel/UCaO6TYtlC8U5ttz62hTrZgg'>UCaO6TYtlC8U5ttz62hTrZgg</a>	<a target='_blank' href='https://www.youtube.com/channel/UCaO6TYtlC8U5ttz62hTrZgg'>JYP Entertainment</a>	TWICE(트와이스) "KNOCK KNOCK" M/V<br><br>The 5th Mini Album "What is Love?" <br>Spotify https://goo.gl/jVLYYY<br>iTunes & Apple Music https://goo.gl/DKyKZf<br><br>SPECIAL ALBUM "TWICEcoaster : LANE 2"<br>Spotify https://goo.gl/4ie9Ei<br>iTunes Apple Music: https://goo.gl/t9L891<br><br>TWICE Official Homepage: http://TWICE.jype.com<br>TWICE Official Fan's: http://fans.jype.com/TWICE<br>TWICE Official YouTube: http://www.youtube.com/c/TWICEonAir<br>TWICE Official Facebook: http://www.facebook.com/JYPETWICE<br>TWICE Official Twitter: http://www.twitter.com/JYPETWICE<br>TWICE Official Instagram: http://www.instagram.com/TWICETAGRAM<br><br>#TWICE #KNOCKKNOCK<br><br>Copyrights 2017 ⓒ JYP Entertainment. All Rights Reserved	    4m 1s 	241	2017-02-19T15:00:01Z	en	ko	301,865,681	2,497,000			268,520			true	true	2d	hd	true	rectangular	youtube	public								47	TWICE KNOCK KNOCK, 트와이스 KNOCK KNOCK, 트와이스 낙낙, TWICE 낙낙, TWICE, 트와이스, KNOCK KNOCK, 낙낙, TWICE M/V, TWICE MV, TWICE Music Video, TWICE 뮤직비디오, TWICE 뮤비, 트와이스 M/V, 트와이스 MV, 트와이스 Music Video, 트와이스 뮤직비디오, 트와이스 뮤비, TWICE KNOCK KNOCK MV, TWICE KNOCK KNOCK Music Video, 트와이스 KNOCK KNOCK MV, 트와이스 KNOCK KNOCK 뮤비, 트와이스 낙낙 뮤비, 트와이스 낙낙 뮤직비디오, 트와이스 낙낙 MV, TT, 티티, CHEER UP, 치얼업, OOH-AHH하게, Like OOH-AHH, 우아하게, JYP, 제이와이피, NAYEON, JEONGYEON, MOMO, SANA, JIHYO, MINA, DAHYUN, CHAEYOUNG, TZUYU, 모모, 사나, 미나, 쯔위	3	en, ko, th
<a target='_blank' href='https://youtu.be/DujEvJIW_9I'>DujEvJIW_9I</a>	<a target='_blank' href='https://youtu.be/DujEvJIW_9I'>SoFaygo - Knock Knock (Directed by Cole Bennett)</a>	<a target='_blank' href='https://www.youtube.com/channel/UCtylTUUVIGY_i5afsQYeBZA'>UCtylTUUVIGY_i5afsQYeBZA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCtylTUUVIGY_i5afsQYeBZA'>Lyrical Lemonade</a>	Lyrical Lemonade Presents:<br><br>SoFaygo - Knock Knock (Official Music Video)<br><br>SoFaygo Socials:<br>http://instagram.com/imsofaygo<br>http://twitter/com/imsofaygo<br><br>Directed & Edited: Cole Bennett <br>Song Produced by: Lil Tecca<br><br>VFX: Cole Bennett<br>3D Elements: KAYO<br>Colorist: Loren White<br><br>Director of Photography: Franklin Ricart<br>1st AC: Austin Puckett<br>2nd AC: Jacob L. Dugger<br>Steadicam: Renard Cheren<br><br>Production Designer: Cody Fusina<br>Art Coordinator: Rashi Jain<br>Set Decorator: Andrew Caso<br>Set Dresser: Daniela Montano<br>Set Dresser: Carlos Hernandez<br>Set Dresser: Ritka Ramesh<br>Art PA: Sebastian Polanco<br><br>Key Makeup & Wardrobe Designer: Rasheeda Ameera<br>SFX Makeup: Alan Gonzalez<br>Wardrobe Asst: Aunah Guitron<br>Makeup Asst: Charde Rene<br><br>Gaffer: Dmitri Christo<br>Key Grip: Cody Ingham<br>BBE: Chris Ginnaven<br>BBG: Hunter Barnes<br>Electric: Julian Tuzzeo<br>Electric: Ryan Silber<br>Grip: Sebastian Lam<br><br>1st AD: Erik Mateo <br>2nd AD: Anthony Hayward <br>PA: Vivica Price<br>PA: Carlos Salazar<br>PA: Nate Negron<br>PA: Adrian Cobb<br>PA: Nestor Tuduri<br>PA: Thomas Pressure<br><br>Executive Producer: Salvatore Tarantino<br>Production Manager: Toni Sudimac<br>Associate Producer: Jake Millan<br><br><br>Casting Director: Mill Ticket Entertainment<br><br>--<br><br>Official Channel of Lyrical Lemonade <br><br>Subscribe for updates on music videos, interviews, performance videos, etc.<br><br>Lyrical Lemonade's Hot 25 Spotify Playlist:<br>https://open.spotify.com/user/gh3vdz775oy18ah1wp9ucxsj5/playlist/5UuPeWDR2I8a8pORvW9vmr<br><br>Lyrical Lemonade Socials:<br><br>http://www.twitter.com/lyricalemonade<br>http://www.instagram.com/lyricalemonade<br>http://www.facebook.com/lyricalemonade<br>http://www.lyricallemonade.com<br><br><br>Cole Bennett Socials:<br><br>http://www.twitter.com/_colebennett_<br>http://www.instagram.com/_colebennett_<br><br>LENNY ~ a hidden character representing happiness & good energy<br>http://instagram.com/lenny	    2m 37s 	157	2021-05-04T01:30:14Z			44,844,380	970,946			39,203			true		2d	hd	false	rectangular	youtube	public				true (ended)				21	SoFaygo, Knock Knock, Lets lose our mind, Lyrical Lemonade, Cactus Jack, Cole Bennett, Music Video, beetlejuice, tim burton, music video, checkerboard, stripes, hip hop, rap, i knew shorty was a thotty, tik tok, faygo you gettin bigger, faygo, cards, off the map, everyday	0	
<a target='_blank' href='https://youtu.be/u2nRLeEQhYo'>u2nRLeEQhYo</a>	<a target='_blank' href='https://youtu.be/u2nRLeEQhYo'>Jack Savoretti - Knock Knock</a>	<a target='_blank' href='https://www.youtube.com/channel/UCovm8EZm6FNHbAOUSMu1CtQ'>UCovm8EZm6FNHbAOUSMu1CtQ</a>	<a target='_blank' href='https://www.youtube.com/channel/UCovm8EZm6FNHbAOUSMu1CtQ'>Jack Savoretti</a>	The new album 'Europiana' is out now: https://JackSavoretti.lnk.to/EuropianaID<br><br>Stream the Best Of Jack Savoretti: https://JackSavoretti.lnk.to/BestOfCollectionID<br>Watch more of Jack's videos: https://JackSavoretti.lnk.to/PlaylistID<br><br>Sign up to Jack's Mailing List: https://JackSavoretti.lnk.to/MailingID<br><br>Follow Jack online:<br>Facebook: https://www.facebook.com/Jacksavoretti<br>Twitter: https://twitter.com/jacksavoretti<br>Instagram: https://www.instagram.com/jacksavoretti<br>Website: http://jacksavoretti.com	    3m  	180	2012-02-19T11:10:58Z			631,213	2,883			111			true		2d	sd	false	rectangular	youtube	public								4	Jack Savoretti, Knock Knock, Music, Pop	0	
<a target='_blank' href='https://youtu.be/uAZ9R2t5Jd0'>uAZ9R2t5Jd0</a>	<a target='_blank' href='https://youtu.be/uAZ9R2t5Jd0'>Death - Keep on Knocking (1976)</a>	<a target='_blank' href='https://www.youtube.com/channel/UCSB-FRjFSEPedX9otGmoEkQ'>UCSB-FRjFSEPedX9otGmoEkQ</a>	<a target='_blank' href='https://www.youtube.com/channel/UCSB-FRjFSEPedX9otGmoEkQ'>riparapa</a>	This African-American trio from Detroit released just this 7" (A-side was 'Politicians in my Eyes') in their time of existence. Recorded in 1975, released <br>in -76. Group disbanded in -77. In 2009 all their recorded songs were released on LP "...For the Whole World to See".	    2m 51s 	171	2010-07-20T10:17:11Z			1,307,688	21,824			1,275			true		2d	sd	false	rectangular	youtube	public								12	death, keep, on, knocking, politicians, in, my, eyes, protopunk, garage, punk, rock	0	
<a target='_blank' href='https://youtu.be/vb3NnS_DjGE'>vb3NnS_DjGE</a>	<a target='_blank' href='https://youtu.be/vb3NnS_DjGE'>Double Vision - Knockin'</a>	<a target='_blank' href='https://www.youtube.com/channel/UCfj0YPUy3Fs3T3W9uEo74QA'>UCfj0YPUy3Fs3T3W9uEo74QA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCfj0YPUy3Fs3T3W9uEo74QA'>Blanca Pérez</a>	Music	    5m 26s 	326	2008-01-04T17:53:56Z			2,503,834	16,360			696			true		2d	sd	false	rectangular	youtube	public								4	Dance, Remember, 90's, Cantanditas	0	
